Id,UpVotes,DownVotes
"47245510","2","0"
"47245461","2","0"
"47245448","1","0"
"47245354","0","1"
"47245329","1","0"
"47245303","1","0"
"47245296","2","0"
"47245227","1","0"
"47245195","1","0"
"47245191","2","0"
"47245160","2","0"
"47245077","1","0"
"47245042","1","0"
"47245030","1","0"
"47245012","1","0"
"47244968","1","0"
"47244918","1","0"
"47244892","1","0"
"47244873","1","0"
"47244810","1","0"
"47244787","1","0"
"47244783","1","0"
"47244740","1","0"
"47244729","2","0"
"47244714","1","0"
"47244686","1","0"
"47244436","1","0"
"47244433","1","0"
"47244342","1","0"
"47244340","1","0"
"47244326","1","0"
"47244306","1","0"
"47244284","3","0"
"47244240","1","0"
"47244196","1","0"
"47244039","1","0"
"47243974","1","0"
"47243919","2","0"
"47243799","2","0"
"47243751","1","0"
"47243700","1","0"
"47243685","0","1"
"47243678","1","0"
"47243663","1","0"
"47243628","2","0"
"47243546","1","0"
"47243473","1","0"
"47243427","1","0"
"47243394","1","0"
"47243313","1","0"
"47243260","0","1"
"47243120","1","0"
"47243106","1","0"
"47243090","1","0"
"47243055","1","0"
"47243012","1","0"
"47242988","2","0"
"47242985","2","0"
"47242955","1","0"
"47242896","2","0"
"47242708","1","0"
"47242652","2","0"
"47242482","1","0"
"47242425","1","0"
"47242383","1","0"
"47242312","1","0"
"47242242","1","0"
"47242064","2","0"
"47241977","1","0"
"47241960","2","0"
"47241959","3","0"
"47241902","1","0"
"47241846","2","0"
"47241819","1","0"
"47241780","2","0"
"47241710","1","0"
"47241668","1","0"
"47241642","1","0"
"47241621","1","0"
"47241607","2","0"
"47241604","3","0"
"47241573","1","0"
"47241547","3","0"
"47241506","1","0"
"47241424","2","0"
"47241413","1","1"
"47241380","2","2"
"47241363","3","0"
"47241307","0","1"
"47241182","3","1"
"47241171","4","0"
"47241090","1","0"
"47241066","1","0"
"47241008","1","0"
"47240958","1","0"
"47240955","0","1"
"47240936","2","0"
"47240911","1","0"
"47240886","1","0"
"47240880","2","0"
"47240853","4","0"
"47240828","2","0"
"47240810","0","1"
"47240786","1","0"
"47240767","2","0"
"47240731","2","0"
"47240703","1","0"
"47240684","1","1"
"47240636","1","0"
"47240580","2","0"
"47240485","1","0"
"47240450","2","0"
"47240403","1","0"
"47240330","2","0"
"47240297","4","0"
"47240286","1","2"
"47240228","1","0"
"47240212","1","0"
"47240205","1","0"
"47240142","1","0"
"47240113","1","0"
"47239841","1","0"
"47239816","6","0"
"47239761","1","0"
"47239644","2","0"
"47239563","2","0"
"47239504","1","0"
"47239376","1","0"
"47239368","1","0"
"47239367","1","0"
"47239221","2","0"
"47239155","1","0"
"47239154","2","0"
"47239122","4","0"
"47239117","1","0"
"47239066","1","0"
"47238931","2","0"
"47238927","3","0"
"47238925","1","0"
"47238917","1","0"
"47238830","2","0"
"47238811","2","0"
"47238791","1","0"
"47238758","1","0"
"47238717","1","0"
"47238570","1","0"
"47238516","1","0"
"47238387","1","0"
"47238253","2","0"
"47238167","1","0"
"47238150","3","0"
"47238118","7","0"
"47238035","2","0"
"47238001","2","0"
"47237998","1","0"
"47237993","1","0"
"47237990","1","0"
"47237978","1","0"
"47237967","2","2"
"47237932","2","0"
"47237894","1","0"
"47237827","3","0"
"47237777","3","0"
"47237718","1","1"
"47237683","1","1"
"47237671","4","0"
"47237527","3","0"
"47237492","1","0"
"47237460","1","0"
"47237376","1","0"
"47237202","1","0"
"47237190","0","1"
"47237059","2","0"
"47236990","1","0"
"47236970","1","0"
"47236952","3","0"
"47236934","1","0"
"47236887","0","1"
"47236811","1","0"
"47236797","2","0"
"47236759","1","0"
"47236753","1","0"
"47236704","1","0"
"47236680","1","0"
"47236657","1","0"
"47236650","1","1"
"47236599","1","0"
"47236463","1","0"
"47236413","5","0"
"47236363","1","0"
"47236350","0","1"
"47236133","1","0"
"47236119","1","0"
"47236087","1","0"
"47235883","0","1"
"47235876","1","0"
"47235859","1","1"
"47235847","1","1"
"47235834","1","0"
"47235830","1","0"
"47235820","2","0"
"47235807","7","0"
"47235795","2","0"
"47235772","5","0"
"47235738","1","0"
"47235679","0","1"
"47235630","1","0"
"47235604","1","0"
"47235549","1","0"
"47235505","2","0"
"47235485","1","0"
"47235484","1","0"
"47235212","1","0"
"47235202","1","0"
"47235190","1","0"
"47235149","2","0"
"47235139","1","0"
"47235121","3","0"
"47235078","1","0"
"47234993","0","1"
"47234975","1","0"
"47234939","2","0"
"47234912","4","0"
"47234899","1","0"
"47234895","1","0"
"47234884","1","0"
"47234876","1","0"
"47234818","1","0"
"47234681","1","0"
"47234622","4","0"
"47234568","4","0"
"47234255","1","0"
"47234139","1","0"
"47234081","1","0"
"47234034","3","0"
"47233996","1","0"
"47233842","1","0"
"47233789","3","0"
"47233694","4","0"
"47233501","1","0"
"47233500","1","0"
"47233471","1","0"
"47233455","1","0"
"47233431","2","0"
"47233400","2","0"
"47233183","0","1"
"47233174","1","0"
"47233142","1","0"
"47233133","2","0"
"47232997","1","0"
"47232942","1","0"
"47232939","5","0"
"47232889","1","0"
"47232750","1","0"
"47232691","1","0"
"47232639","1","0"
"47232611","1","0"
"47232591","1","0"
"47232555","2","0"
"47232539","1","0"
"47232469","1","0"
"47232457","2","0"
"47232341","2","0"
"47232184","1","0"
"47232128","1","0"
"47232086","2","0"
"47232066","1","0"
"47232046","1","0"
"47231983","1","0"
"47231940","1","0"
"47231928","1","0"
"47231913","0","1"
"47231895","2","0"
"47231880","1","0"
"47231867","1","0"
"47231772","2","0"
"47231671","2","0"
"47231604","1","0"
"47231541","2","0"
"47231501","1","0"
"47231460","5","0"
"47231440","2","0"
"47231188","2","0"
"47231140","3","0"
"47231129","2","0"
"47231126","2","0"
"47231091","1","0"
"47231049","2","0"
"47231020","1","0"
"47230962","3","0"
"47230940","2","0"
"47230938","1","0"
"47230899","2","0"
"47230864","2","0"
"47230695","1","0"
"47230678","5","0"
"47230653","4","1"
"47230638","3","0"
"47230625","4","0"
"47230619","1","0"
"47230508","2","0"
"47230494","0","1"
"47230413","1","0"
"47230328","1","0"
"47230313","2","0"
"47230302","1","0"
"47230284","1","0"
"47230234","1","0"
"47230224","1","0"
"47230170","2","0"
"47230110","1","0"
"47230091","2","0"
"47230080","1","0"
"47229873","1","0"
"47229864","1","1"
"47229829","1","0"
"47229786","1","0"
"47229772","2","0"
"47229759","2","0"
"47229734","1","0"
"47229719","1","0"
"47229717","1","0"
"47229706","1","0"
"47229671","3","0"
"47229629","1","0"
"47229584","1","0"
"47229459","3","0"
"47229410","1","0"
"47229401","1","0"
"47229305","1","0"
"47229183","0","1"
"47229173","1","0"
"47229135","2","0"
"47229055","1","0"
"47228984","3","0"
"47228982","2","0"
"47228787","4","0"
"47228686","4","0"
"47228660","1","0"
"47228658","1","0"
"47228632","1","0"
"47228447","3","0"
"47228403","2","0"
"47228247","1","0"
"47228232","2","0"
"47228174","3","0"
"47228148","2","0"
"47228125","4","0"
"47228073","3","0"
"47228036","1","0"
"47227963","1","0"
"47227955","2","0"
"47227946","1","0"
"47227940","1","0"
"47227883","3","0"
"47227733","2","0"
"47227698","1","0"
"47227617","2","0"
"47227513","2","0"
"47227457","3","0"
"47227386","2","1"
"47227378","1","0"
"47227373","1","0"
"47227364","1","0"
"47227351","5","0"
"47227162","1","0"
"47227149","1","0"
"47227133","1","0"
"47227109","1","0"
"47227106","1","0"
"47226992","3","0"
"47226978","1","0"
"47226969","1","0"
"47226929","1","0"
"47226928","2","0"
"47226857","2","0"
"47226708","1","0"
"47226655","1","0"
"47226612","1","0"
"47226569","1","0"
"47226568","1","0"
"47226473","1","0"
"47226454","0","1"
"47226430","2","0"
"47226411","0","1"
"47226288","1","0"
"47226287","1","0"
"47226274","1","0"
"47226047","1","0"
"47226044","1","0"
"47226033","1","0"
"47226027","3","0"
"47225992","0","1"
"47225979","2","0"
"47225914","0","1"
"47225894","2","0"
"47225853","3","0"
"47225845","1","0"
"47225819","1","0"
"47225803","4","0"
"47225708","3","0"
"47225612","1","0"
"47225459","2","0"
"47225441","1","0"
"47225417","4","0"
"47225396","1","0"
"47225333","1","0"
"47225311","0","1"
"47225299","1","0"
"47225245","1","1"
"47225179","2","0"
"47225094","1","0"
"47225091","6","0"
"47225050","3","0"
"47225031","2","0"
"47224952","1","0"
"47224923","1","0"
"47224912","1","0"
"47224694","1","0"
"47224641","1","0"
"47224584","1","1"
"47224583","1","1"
"47224521","1","0"
"47224467","1","0"
"47224392","3","0"
"47224383","1","0"
"47224336","1","0"
"47224295","1","0"
"47224291","1","0"
"47224266","4","0"
"47224252","0","1"
"47224003","1","0"
"47224000","2","0"
"47223994","1","0"
"47223951","3","0"
"47223940","1","0"
"47223919","3","0"
"47223890","1","0"
"47223804","1","0"
"47223728","2","0"
"47223565","1","0"
"47223525","1","0"
"47223516","2","0"
"47223463","3","0"
"47223396","1","0"
"47223185","1","1"
"47223130","1","0"
"47223065","1","0"
"47222936","1","0"
"47222932","1","0"
"47222898","1","0"
"47222849","1","1"
"47222769","1","0"
"47222597","2","0"
"47222465","4","0"
"47222374","1","0"
"47222160","2","0"
"47222135","1","0"
"47221973","2","0"
"47221962","2","0"
"47221779","2","0"
"47221775","2","0"
"47221686","1","2"
"47221667","1","0"
"47221529","1","0"
"47221516","4","0"
"47221445","1","0"
"47221371","4","0"
"47221215","2","0"
"47221183","5","0"
"47221049","2","0"
"47221030","1","0"
"47220918","2","0"
"47220888","4","0"
"47220857","2","0"
"47220763","0","1"
"47220737","2","0"
"47220706","2","0"
"47220675","0","1"
"47220586","0","1"
"47220565","1","0"
"47220561","1","0"
"47220475","1","0"
"47220372","1","0"
"47220332","1","0"
"47220274","0","1"
"47220098","2","0"
"47220064","0","1"
"47220053","3","0"
"47219840","1","0"
"47219837","3","0"
"47219833","7","0"
"47219781","4","0"
"47219730","1","0"
"47219705","2","0"
"47219638","1","0"
"47219553","1","0"
"47219531","1","0"
"47219501","1","0"
"47219490","1","0"
"47219390","2","0"
"47219373","1","0"
"47219308","2","0"
"47219247","1","0"
"47219203","2","0"
"47219190","2","0"
"47219146","1","0"
"47219011","0","1"
"47218906","2","0"
"47218896","1","0"
"47218839","4","0"
"47218805","3","0"
"47218760","2","0"
"47218593","1","0"
"47218484","1","0"
"47218481","2","0"
"47218367","2","0"
"47218350","2","0"
"47218221","1","0"
"47218124","1","0"
"47218110","1","0"
"47218070","1","0"
"47218018","1","0"
"47217986","1","0"
"47217949","2","0"
"47217810","1","0"
"47217806","2","0"
"47217763","1","0"
"47217701","1","0"
"47217641","1","0"
"47217638","1","0"
"47217596","1","0"
"47217367","1","0"
"47217259","1","0"
"47217226","1","0"
"47217175","1","0"
"47217122","4","0"
"47217083","3","1"
"47217026","1","0"
"47217007","1","0"
"47216957","1","0"
"47216938","1","0"
"47216921","0","1"
"47216885","1","0"
"47216866","1","0"
"47216819","0","1"
"47216807","1","0"
"47216787","2","0"
"47216661","1","0"
"47216653","2","0"
"47216593","1","0"
"47216552","2","0"
"47216411","1","0"
"47216356","1","0"
"47216343","0","1"
"47216254","2","0"
"47216245","2","0"
"47216190","3","0"
"47216168","2","0"
"47216122","1","0"
"47215999","0","1"
"47215925","1","0"
"47215877","2","0"
"47215817","1","5"
"47215803","1","0"
"47215648","0","2"
"47215617","2","0"
"47215566","2","0"
"47215552","2","0"
"47215546","0","1"
"47215478","1","0"
"47215476","0","1"
"47215427","1","0"
"47215378","4","0"
"47215358","4","0"
"47215326","2","0"
"47215312","2","1"
"47215306","2","0"
"47215153","1","0"
"47215138","0","1"
"47215137","1","0"
"47215106","2","0"
"47215095","1","0"
"47215022","2","0"
"47215013","2","0"
"47215003","1","0"
"47214965","1","0"
"47214873","1","0"
"47214815","0","1"
"47214743","2","0"
"47214620","1","0"
"47214574","1","0"
"47214547","1","1"
"47214504","1","0"
"47214490","1","0"
"47214477","1","0"
"47214441","3","0"
"47214418","1","0"
"47214394","1","0"
"47214272","2","0"
"47214089","1","0"
"47214075","1","0"
"47213985","0","1"
"47213964","1","0"
"47213901","1","0"
"47213870","1","0"
"47213864","1","0"
"47213859","1","0"
"47213857","1","0"
"47213801","1","0"
"47213739","2","0"
"47213720","3","0"
"47213700","3","0"
"47213664","2","0"
"47213663","1","0"
"47213557","1","0"
"47213555","1","0"
"47213499","1","0"
"47213484","1","0"
"47213468","0","1"
"47213427","1","0"
"47213385","2","0"
"47213292","1","0"
"47213275","1","0"
"47213245","1","0"
"47213235","1","0"
"47213212","2","0"
"47213209","1","0"
"47213155","2","0"
"47213142","1","0"
"47213094","1","0"
"47213073","1","0"
"47212956","0","1"
"47212870","1","0"
"47212863","2","0"
"47212836","1","0"
"47212796","1","0"
"47212757","1","0"
"47212723","1","0"
"47212605","3","0"
"47212594","1","1"
"47212592","1","0"
"47212446","1","0"
"47212438","2","1"
"47212410","1","0"
"47212307","5","1"
"47212211","3","0"
"47212152","1","0"
"47212134","1","1"
"47212059","1","0"
"47212033","2","0"
"47212008","1","0"
"47211933","1","0"
"47211890","1","0"
"47211881","4","0"
"47211872","2","0"
"47211865","1","0"
"47211847","2","1"
"47211826","2","0"
"47211789","1","0"
"47211762","1","0"
"47211729","1","0"
"47211713","1","0"
"47211707","1","0"
"47211675","0","1"
"47211651","1","0"
"47211650","2","0"
"47211641","1","0"
"47211551","1","0"
"47211505","0","1"
"47211494","0","1"
"47211439","0","1"
"47211409","1","0"
"47211343","2","0"
"47211265","3","0"
"47211225","1","0"
"47211134","3","0"
"47211081","1","0"
"47211059","0","3"
"47210875","2","0"
"47210868","2","0"
"47210862","2","0"
"47210824","4","0"
"47210801","1","0"
